,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,doc,2035.12,1077.41,758.18,407.02,5,1,1
1,doc,1652.24,1030.68,873.33,267.51,7,3,5
2,doc,1840.22,1095.15,619.39,386.0,5,3,3
3,doc,1901.79,928.57,633.93,366.07,5,3,6
4,doc,1537.74,1034.48,549.86,577.82,2,4,3
5,doc,1990.43,956.94,842.11,650.72,2,0,0
6,doc,1994.84,1212.38,773.86,541.7,3,0,0
7,doc,2093.39,1058.37,762.65,326.85,7,0,5
8,doc,1666.67,1037.04,675.93,305.56,7,6,4
9,doc,2165.04,1073.65,638.86,576.75,3,0,2
10,doc,1329.33,1072.04,746.14,480.27,12,2,2
11,doc,1833.88,1085.53,731.91,230.26,7,3,3
12,doc,1541.99,1023.62,610.24,380.58,6,0,6
13,doc,1753.76,1018.6,717.45,363.15,6,0,1
14,doc,2221.16,1000.95,877.03,476.64,1,0,2
15,doc,1940.44,1123.92,826.13,480.31,1,6,0
16,doc,1656.15,922.71,733.44,283.91,14,2,1
17,doc,1749.02,980.39,705.88,470.59,4,1,3
18,doc,1802.22,1053.6,573.01,452.87,2,2,3
19,doc,1340.29,1187.8,521.67,313.0,9,3,5
20,doc,1713.0,1022.42,627.8,278.03,6,3,2
21,doc,2570.98,1230.28,820.19,362.78,1,0,2
22,doc,1733.8,1164.62,630.47,586.69,3,0,0
23,doc,1578.03,1194.42,758.5,540.54,7,0,3
24,doc,2106.18,1053.09,957.35,330.72,0,0,0
25,doc,2184.74,875.5,963.86,257.03,3,0,3
26,doc,2307.11,930.41,877.46,431.16,1,0,0
27,doc,2039.93,980.9,824.65,286.46,5,0,3
28,doc,1570.61,943.8,518.73,381.84,15,2,2
29,doc,1518.22,1012.15,789.47,458.84,9,5,3
30,doc,2258.58,1069.43,734.24,422.98,7,0,2
31,doc,1802.03,1040.61,719.12,219.97,4,3,3
32,doc,1954.77,961.23,880.45,395.8,6,0,0
33,doc,2275.18,1097.12,773.38,359.71,5,1,5
34,doc,1557.44,1048.57,747.88,454.9,6,1,2
35,doc,1663.87,1109.24,647.06,436.97,9,2,2
36,doc,2181.35,1069.29,829.77,393.5,1,0,1
37,doc,1503.64,881.16,371.87,331.45,7,1,5
38,doc,2131.15,1002.89,800.39,366.44,2,0,0
39,doc,1810.43,985.78,777.25,379.15,6,5,1
40,doc,1468.05,1157.17,682.21,423.14,5,3,4
41,doc,1479.39,945.84,703.31,355.7,5,1,5
42,doc,1625.66,1089.63,667.84,307.56,9,4,2
43,doc,1767.01,946.05,555.12,281.47,9,2,3
44,doc,2055.66,987.43,888.69,601.44,3,0,3
45,doc,1767.53,1143.13,691.64,413.06,0,1,1
46,doc,1592.45,1026.42,671.7,384.91,6,2,6
47,doc,1623.38,923.52,757.58,346.32,12,2,1
48,doc,1586.09,916.03,508.91,330.79,10,6,4
49,doc,1892.74,1135.65,662.46,325.97,3,1,0
50,doc,2196.48,1038.0,713.62,240.96,4,0,0
51,doc,1795.07,993.84,577.81,354.39,3,1,4
52,doc,1602.51,1020.59,653.54,402.86,9,4,2
53,doc,1917.59,1014.26,871.63,427.89,6,0,1
54,doc,2223.27,870.39,889.31,302.74,5,0,8
55,doc,1970.2,1018.21,745.03,322.85,3,0,0
56,doc,1672.44,1117.85,684.58,294.63,3,3,2
57,doc,1847.91,1005.72,784.96,351.59,6,3,3
58,doc,2032.59,951.97,891.94,274.44,5,1,0
59,doc,1818.18,1126.76,665.81,396.93,4,0,5
60,doc,2369.12,1144.63,1047.03,452.53,1,0,0
61,doc,1644.79,988.42,679.54,432.43,7,3,3
62,doc,2153.47,1155.12,660.07,569.31,0,0,1
63,doc,1808.94,1006.1,741.87,376.02,4,3,6
64,doc,1382.84,934.7,678.62,307.3,5,1,3
65,doc,1634.04,859.57,714.89,434.04,11,2,6
66,doc,1471.86,1108.23,632.03,536.8,8,1,0
67,doc,2146.15,1000.0,669.23,407.69,3,0,6
68,doc,1606.79,1097.8,758.48,479.04,6,4,1
69,doc,1795.81,1057.43,1039.2,455.79,1,2,1
70,doc,1369.53,1199.35,607.78,340.36,6,2,2
71,doc,1464.23,1064.89,582.36,232.95,15,2,3
72,doc,1486.81,863.31,767.39,447.64,7,2,6
73,doc,2175.66,1232.88,604.35,580.18,2,0,2
74,doc,1812.96,959.8,721.9,385.56,10,3,4
75,doc,1742.81,1057.53,634.52,338.41,8,4,4
76,doc,1956.78,1296.52,720.29,504.2,2,2,1
77,doc,1353.79,1182.31,694.95,324.91,11,2,2
78,doc,1389.5,1049.52,539.54,458.24,5,3,8
79,doc,1901.79,1062.5,839.29,526.79,3,1,1
80,doc,2031.98,1063.03,893.7,413.92,2,0,4
81,doc,1357.39,1108.25,850.52,317.87,7,0,0
82,doc,1480.82,1338.09,544.16,249.78,9,1,2
83,doc,1485.66,1033.88,807.99,417.03,7,1,1
84,doc,1538.46,1102.56,606.84,333.33,11,1,0
85,doc,1584.75,1110.17,567.8,322.03,4,1,4
86,doc,2060.66,999.11,686.89,312.22,3,1,2
87,doc,1675.0,983.33,575.0,441.67,9,5,6
88,doc,1989.49,1081.08,1013.51,518.02,6,0,1
89,doc,1507.65,1056.08,670.07,502.55,4,2,2
90,doc,1916.82,1112.12,614.83,334.54,4,1,4
91,doc,1531.63,865.7,699.22,554.94,7,3,2
92,doc,2033.01,825.21,712.68,367.59,5,2,4
93,doc,2193.8,1015.5,829.46,457.36,5,0,3
94,doc,1842.11,939.85,759.4,330.83,4,2,5
95,doc,1800.53,1156.22,661.96,361.87,9,5,2
96,doc,2001.74,905.13,809.4,252.39,4,1,2
97,doc,1747.81,957.7,941.74,343.18,3,1,5
