task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load vectorised data (MLP),2024-05-17T10:42:50,Assignment-2,a5ce689d-90c1-413a-a9e4-0030e36c0639,0.01357579231262207,1.407394514498051e-07,8.895345823205245e-06,42.5,0.0,141.20075225830078,1.8513169553544788e-07,0,5.949426398956347e-07,7.800743354310826e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit MLP model with GS,2024-05-17T11:24:47,Assignment-2,a5ce689d-90c1-413a-a9e4-0030e36c0639,2517.899402141571,0.023179951022959836,9.206363565118786e-06,42.5,0.0,141.20075225830078,0.029724241125914787,0,0.09875490742334213,0.1284791485492569,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Evaluate MLP model,2024-05-17T11:24:48,Assignment-2,a5ce689d-90c1-413a-a9e4-0030e36c0639,0.30376172065734863,2.8049409989509833e-06,9.195188906837322e-06,42.5,0.0,141.20075225830078,3.6003574728979415e-06,0,1.1946544715105145e-05,1.5546902187996148e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Plot MLP training,2024-05-17T11:24:48,Assignment-2,a5ce689d-90c1-413a-a9e4-0030e36c0639,0.20154428482055664,1.8487592663013475e-06,9.186116780493961e-06,42.5,0.0,141.20075225830078,2.374714944096412e-06,0,7.872373851358638e-06,1.024708879546199e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
