task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Find artist,2024-05-27T15:39:47,Assignment-3,28038c75-2450-408c-ace9-0964edca2c4b,1.1169486045837402,1.0269507420818082e-05,9.199978823403752e-06,42.5,0.0,141.20075225830078,1.3176431920793323e-05,0,4.374420471644953e-05,5.692063663724285e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Load model and find words,2024-05-27T15:40:07,Assignment-3,28038c75-2450-408c-ace9-0964edca2c4b,19.744914054870605,0.0001817242165728676,9.205089542733894e-06,42.5,0.0,141.20075225830078,0.00023305810160107086,0,0.000774181844373652,0.0010072399459747229,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Keyword query,2024-05-27T15:40:07,Assignment-3,28038c75-2450-408c-ace9-0964edca2c4b,0.035137176513671875,3.3278894355211284e-07,9.101874716157941e-06,42.5,0.0,141.20075225830078,4.3055348926119945e-07,0,1.4139905337970425e-06,1.8445440230581336e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
