task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load vectorised data (LR),2024-05-18T17:07:57,Assignment-2,2b4280e1-4e0e-43f1-889e-58a7a31df78a,0.011588573455810547,1.1805295682532028e-07,8.947577459373465e-06,42.5,0.0,141.20075225830078,1.5466858943303428e-07,0,4.996616704374901e-07,6.543302598705243e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit LR model with GS,2024-05-18T17:09:08,Assignment-2,2b4280e1-4e0e-43f1-889e-58a7a31df78a,71.05982518196106,0.0006541876944665205,9.206301719127084e-06,42.5,0.0,141.20075225830078,0.0008388858834902447,0,0.0027870699217316316,0.0036259558052218763,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Evaluate LR model,2024-05-18T17:09:08,Assignment-2,2b4280e1-4e0e-43f1-889e-58a7a31df78a,0.04240703582763672,3.8787198842007726e-07,9.135158841006271e-06,42.5,0.0,141.20075225830078,4.999828007486032e-07,0,1.6498691453991493e-06,2.149851946147644e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
