task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load vectorised data (MLP),2024-05-17T10:10:52,Assignment-2,94ac07a1-a933-4ae6-8e06-786bc8304e3e,0.010496854782104492,1.0239396420928004e-07,8.795957351796995e-06,42.5,0.0,141.20075225830078,1.3586945003933378e-07,0,4.316679586963801e-07,5.675374087357139e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit MLP model,2024-05-17T10:12:35,Assignment-2,94ac07a1-a933-4ae6-8e06-786bc8304e3e,102.66100573539734,0.0009444526186397543,9.200126120850576e-06,42.5,0.0,141.20075225830078,0.0012119117769930098,0,0.004022890840482819,0.005234802617475829,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Evaluate MLP model,2024-05-17T10:12:35,Assignment-2,94ac07a1-a933-4ae6-8e06-786bc8304e3e,0.21999025344848633,2.032324505026593e-06,9.19550461516088e-06,42.5,0.0,141.20075225830078,2.6083658138911954e-06,0,8.656167131971572e-06,1.1264532945862334e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Plot MLP training,2024-05-17T10:12:35,Assignment-2,94ac07a1-a933-4ae6-8e06-786bc8304e3e,0.19374346733093262,1.7785417533362248e-06,9.189639239112665e-06,42.5,0.0,141.20075225830078,2.283623980151245e-06,0,7.574271314865315e-06,9.857895295016343e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
