task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load vectorised data (MLP),2024-05-18T22:07:16,Assignment-2,024ab792-71c5-45d5-b653-9a2a2d69056c,0.013222694396972656,1.3504641353634795e-07,8.938953263282492e-06,42.5,0.0,141.20075225830078,1.7703953716490002e-07,0,5.714800869100145e-07,7.485196240749145e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit MLP model with GS,2024-05-18T22:45:08,Assignment-2,024ab792-71c5-45d5-b653-9a2a2d69056c,2271.886903524399,0.020914952322605936,9.206363499558027e-06,42.5,0.0,141.20075225830078,0.02681977698024776,0,0.08910519903437347,0.11592497601462123,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Evaluate MLP model,2024-05-18T22:45:08,Assignment-2,024ab792-71c5-45d5-b653-9a2a2d69056c,0.2115490436553955,1.954439467228425e-06,9.190511254116301e-06,42.5,0.0,141.20075225830078,2.5097315510119733e-06,0,8.323109225577552e-06,1.0832840776589525e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Plot MLP training,2024-05-18T22:45:08,Assignment-2,024ab792-71c5-45d5-b653-9a2a2d69056c,0.21448159217834473,1.9705701308041224e-06,9.189025629696288e-06,42.5,0.0,141.20075225830078,2.5304249591309724e-06,0,8.39182299175456e-06,1.0922247950878594e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
