task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load spacy model,2024-05-02T12:02:17,Assignment-1,511c9876-8ed8-4379-b624-55746856201a,2.2466037273406982,2.068417230309847e-05,9.204234266311655e-06,42.5,0.0,141.20075225830078,2.6528949207729765e-05,0,8.811688603652783e-05,0.0001146458352442576,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Feature extraction,2024-05-02T12:06:26,Assignment-1,511c9876-8ed8-4379-b624-55746856201a,249.45844960212708,0.0022965924011675498,9.206350652396269e-06,42.5,0.0,141.20075225830078,0.0029449817740254936,0,0.009784304667280525,0.012729286441306019,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
