task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load vectorised data (LR),2024-05-18T17:21:57,Assignment-2,8776f0d9-c296-478e-9d72-7dc4023fdba1,0.011983633041381836,1.2024861406045897e-07,8.953334569130144e-06,42.5,0.0,141.20075225830078,1.5750577052434288e-07,0,5.089943240363936e-07,6.665000945607365e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit LR model with GS,2024-05-18T17:24:35,Assignment-2,8776f0d9-c296-478e-9d72-7dc4023fdba1,158.351154088974,0.0014578148612316392,9.206339371680724e-06,42.5,0.0,141.20075225830078,0.0018693967849016191,0,0.006210810629168145,0.008080207414069765,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Evaluate LR model,2024-05-18T17:24:35,Assignment-2,8776f0d9-c296-478e-9d72-7dc4023fdba1,0.047110557556152344,4.300414590983556e-07,9.136529979698353e-06,42.5,0.0,141.20075225830078,5.544493595758572e-07,0,1.8291346458908578e-06,2.3835840054671487e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
