task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load spacy model,2024-05-06T17:06:34,Assignment-1,0e2e990d-8611-4f28-8c85-4c793ff60261,1.3995146751403809,1.2891877469634426e-05,9.203591542202698e-06,42.5,0.0,141.20075225830078,1.6535828842057125e-05,0,5.49197768604472e-05,7.145560570250432e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Feature extraction,2024-05-06T17:10:13,Assignment-1,0e2e990d-8611-4f28-8c85-4c793ff60261,218.81588554382324,0.002014481596602809,9.206350356287037e-06,42.5,0.0,141.20075225830078,0.002583223635454973,0,0.00858241170360659,0.011165635339061562,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
