,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0103,2039.05,1008.68,954.45,238.61,2,0,3
1,0105,2002.74,1028.81,672.15,850.48,0,0,1
2,0122,2122.97,1194.9,754.06,510.44,0,0,0
3,0134,1988.89,1000.0,800.0,655.56,0,0,0
4,0139,1891.28,1200.45,736.13,453.0,0,0,0
5,0140,2151.59,1014.67,721.27,537.9,1,0,0
6,0165,2019.76,954.99,570.8,592.76,9,0,0
7,0171,2071.61,997.44,626.6,575.45,3,0,0
8,0200,2209.88,1049.38,777.78,814.81,0,1,2
9,0300,1654.22,907.15,1152.61,565.64,15,0,3
10,0304,1763.78,1291.34,740.16,614.17,1,0,0
11,0307,2063.67,845.23,691.55,285.4,12,0,3
12,0308,1910.65,969.58,922.05,722.43,1,0,0
13,0310,2027.65,956.22,702.76,633.64,5,0,4
14,0313,1711.52,1054.9,645.86,731.97,0,0,0
15,1003,2075.47,954.5,965.59,455.05,6,0,5
16,1006,2020.79,946.88,831.41,519.63,0,1,5
17,1006,2020.79,946.88,831.41,519.63,0,1,5
18,1012,2178.22,952.97,816.83,396.04,0,0,0
19,1021,1731.21,911.16,888.38,569.48,1,0,2
20,1023,1799.79,851.97,1075.61,798.72,1,0,5
21,1057,1730.77,1221.15,759.62,692.31,0,1,0
22,1066,1927.57,1004.67,1074.77,595.79,1,0,3
23,1069,1607.95,822.04,641.37,614.27,6,1,8
24,1081,1914.67,1123.83,759.63,499.48,2,0,3
25,1097,1939.09,954.31,934.01,588.83,9,0,2
26,1100,1981.51,1070.01,1136.06,554.82,0,0,0
27,1102,2277.9,968.11,671.98,466.97,0,0,4
28,1104,1853.87,937.84,708.83,545.26,5,0,5
29,1104,1853.87,937.84,708.83,545.26,5,0,5
30,1112,2082.02,1135.65,672.98,588.85,0,0,0
31,1500,2254.55,860.61,727.27,533.33,1,0,4
32,1508,2197.53,1148.15,753.09,555.56,0,0,0
33,1520,1968.91,953.37,777.2,518.13,0,2,2
34,1523,1230.55,1188.12,848.66,678.93,1,1,3
35,1528,1995.86,1075.49,558.43,268.87,7,0,4
36,1532,2173.38,842.49,830.28,439.56,1,0,2
37,1541,1997.28,801.63,828.8,570.65,1,1,1
38,2012,1810.93,1025.06,637.81,569.48,3,0,1
39,2012,1810.93,1025.06,637.81,569.48,3,0,1
40,2018,2204.08,959.18,785.71,479.59,0,1,8
41,2019,1569.34,1240.88,790.75,571.78,3,0,0
42,2028,1724.58,1235.52,566.28,630.63,1,0,0
43,2030,1716.79,1015.04,952.38,639.1,1,0,0
44,2032,1814.77,1214.02,763.45,613.27,2,0,0
45,2034,1865.08,965.61,621.69,568.78,5,0,2
46,2036,1719.94,1217.66,776.26,639.27,1,0,0
47,2042,1631.64,1161.93,729.3,605.69,1,0,2
48,2049,2142.08,983.61,688.52,513.66,4,0,1
49,2066,1830.24,1326.26,596.82,384.62,6,0,0
50,2070,2035.5,1065.09,532.54,437.87,2,0,2
51,2070,2016.51,1061.32,530.66,436.32,2,0,2
52,3013,1960.57,1161.01,931.0,361.45,2,0,0
53,3018,1935.87,1223.28,676.96,522.57,2,0,1
54,3020,1899.38,1057.49,616.02,400.41,1,1,4
55,3062,2296.65,897.13,992.82,502.39,0,0,0
56,3501,2300.65,954.25,915.03,418.3,3,1,2
57,3503,2392.55,802.29,744.99,372.49,0,0,0
58,3504,2095.59,943.63,710.78,477.94,7,0,12
59,3505,1626.19,1140.44,908.13,739.18,2,0,4
60,3506,2279.07,918.6,837.21,313.95,0,0,3
61,3508,1846.47,840.25,1099.59,560.17,2,4,1
62,3509,1786.12,1058.02,750.85,591.58,1,0,6
63,3510,1845.67,886.34,948.91,396.25,4,1,11
64,3511,1668.45,1176.47,887.7,695.19,0,0,0
65,3513,2150.21,1255.14,853.91,318.93,2,1,1
66,3514,2074.93,1008.65,864.55,403.46,8,0,1
67,3515,2283.37,1042.15,913.35,503.51,2,0,1
68,3518,1735.26,1067.85,578.42,656.28,5,0,0
69,3519,1419.66,951.64,811.23,452.42,0,0,3
70,3520,2414.83,891.78,851.7,601.2,0,1,0
71,3522,2075.06,1147.9,706.4,463.58,1,0,4
72,3523,2142.86,1082.25,995.67,508.66,0,0,9
73,3525,1749.23,1191.95,727.55,356.04,1,0,2
74,4012,2240.44,961.75,699.45,666.67,1,0,0
75,4035,1560.47,1131.34,611.18,702.21,1,0,0
76,4036,1742.51,998.89,976.69,477.25,3,0,1
77,4038,2100.94,985.92,739.44,633.8,0,0,0
78,4503,1868.81,1089.11,618.81,371.29,2,2,2
79,4507,2268.04,1294.39,767.47,504.01,2,0,1
