,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0101,1970.88,1086.23,739.08,447.93,1,0,2
1,0102,1820.28,1094.47,541.47,368.66,2,0,0
2,0103,2011.49,876.44,1034.48,574.71,7,0,2
3,0104,1647.8,1094.34,616.35,528.3,2,0,0
4,0105,1673.0,1292.78,633.71,785.8,2,0,2
5,0106,2196.32,944.79,748.47,588.96,2,0,0
6,0107,2234.71,1023.72,848.94,474.41,4,0,0
7,0109,1906.57,1250.0,441.92,404.04,2,0,0
8,0110,2019.83,1239.16,669.14,495.66,2,0,1
9,0111,1929.13,1154.86,524.93,393.7,3,0,1
10,0112,2053.99,1044.6,715.96,633.8,1,0,0
11,0115,2215.03,1165.8,660.62,699.48,0,0,0
12,0118,2525.85,1093.06,871.49,339.73,0,0,1
13,0119,2109.09,1090.91,739.39,460.61,1,0,1
14,0120,2099.29,992.91,921.99,539.01,0,0,0
15,0121,1865.28,997.41,466.32,556.99,2,0,0
16,0122,2357.23,1081.41,668.29,449.57,0,0,1
17,0125,2089.0,914.71,1013.6,469.72,3,0,2
18,0127,1858.53,984.74,735.09,527.05,8,0,1
19,0128,1978.75,1128.82,504.65,637.45,3,0,2
20,0130,1554.29,971.43,685.71,708.57,2,0,0
21,0131,2155.39,1052.63,701.75,701.75,0,0,0
22,0133,1810.78,976.6,528.99,640.9,5,0,2
23,0134,2081.34,968.9,992.82,586.12,0,0,0
24,0135,1994.95,1111.11,656.57,416.67,1,0,0
25,0136,2011.56,1213.87,624.28,439.31,0,0,0
26,0137,2019.7,911.33,788.18,665.02,0,0,0
27,0138,2049.78,1259.15,629.58,351.39,0,0,0
28,0139,1994.82,1321.24,647.67,336.79,0,0,0
29,0142,2153.56,1142.32,992.51,299.63,0,0,0
30,0143,2211.87,931.32,593.71,395.81,5,0,0
31,0146,1575.09,1416.36,610.5,525.03,3,0,0
32,0149,2123.64,1156.36,574.55,632.73,0,0,0
33,0155,1843.82,1041.21,759.22,455.53,2,0,1
34,0156,1972.7,1153.85,570.72,409.43,2,0,0
35,0157,1442.31,1189.9,588.94,552.88,0,0,0
36,0158,1776.58,1184.39,753.7,484.52,2,0,0
37,0159,2153.11,1088.52,526.32,598.09,1,0,5
38,0161,2130.1,943.88,829.08,484.69,0,0,0
39,0162,2383.94,878.29,715.18,414.05,0,0,0
40,0163,1747.13,977.01,689.66,609.2,0,0,2
41,0165,1729.07,1200.44,605.73,462.56,4,0,1
42,0168,1683.94,1204.66,673.58,479.27,1,0,2
43,0169,2166.67,1035.71,619.05,440.48,2,0,4
44,0171,1789.92,1286.17,621.65,546.62,2,0,0
45,0172,2072.18,1071.01,768.34,430.73,1,0,0
46,0173,2138.89,1194.44,541.67,513.89,1,0,1
47,0174,1944.83,1075.86,1131.03,441.38,1,0,1
48,0175,1909.55,1168.34,552.76,376.88,2,0,0
49,0176,2124.85,1056.42,492.2,408.16,4,0,0
50,0177,1839.21,1013.22,682.82,682.82,4,0,0
51,0178,2119.62,1017.84,807.97,629.59,0,0,2
52,0179,2252.36,1155.66,577.83,400.94,2,0,2
53,0182,2083.82,1117.58,640.28,593.71,0,0,2
54,0185,1941.31,1072.23,598.19,474.04,2,0,2
55,0186,1894.6,1016.31,790.46,727.73,2,0,0
56,0187,1685.25,1003.72,867.41,470.88,7,0,1
57,0188,1718.95,1191.97,740.28,539.52,1,0,0
58,0189,1926.52,1155.91,573.48,510.75,0,0,0
59,0190,1557.56,1241.53,530.47,462.75,1,0,3
60,0192,1519.15,1268.16,554.82,237.78,1,0,0
61,0193,2040.05,1214.02,588.24,350.44,3,1,0
62,0195,1975.0,975.0,425.0,625.0,1,0,1
63,0196,1990.95,1244.34,735.29,316.74,0,0,0
64,0198,1837.46,1024.73,471.14,482.92,3,1,0
65,0199,1920.29,1111.11,567.63,543.48,0,0,2
66,0200,2195.12,1052.63,731.71,783.06,0,0,1
67,0202,1974.87,1149.01,951.53,412.93,0,0,0
68,0203,2380.38,1100.48,741.63,382.78,4,0,1
69,0204,2063.71,1135.73,581.72,526.32,2,0,0
70,0205,2075.66,1032.72,613.5,449.9,2,0,1
71,0206,2275.77,1044.18,602.41,321.29,3,0,0
72,0207,1675.26,1250.0,618.56,309.28,0,1,0
73,0208,1932.08,1229.51,456.67,761.12,0,0,0
74,0209,2272.73,1161.62,580.81,277.78,3,0,3
75,0213,1796.97,1365.23,781.8,408.4,1,0,0
76,0214,1708.19,960.85,854.09,545.67,5,0,3
77,0215,1739.86,1258.45,456.08,422.3,2,0,4
78,0216,2345.97,959.72,687.2,450.24,1,0,1
79,0218,1952.1,1245.51,586.83,347.31,0,0,1
80,0219,2151.24,1225.55,560.63,599.74,1,0,1
81,0221,1924.16,1264.04,575.84,323.03,0,0,0
82,0222,1899.07,1314.74,544.49,438.25,2,0,1
83,0223,1841.49,1118.88,606.06,641.03,0,0,1
84,0224,1892.58,971.87,677.75,473.15,6,0,3
85,0226,2000.0,971.75,508.47,553.67,2,0,0
86,0227,1932.43,1081.08,716.22,486.49,1,0,1
87,0231,2306.72,1064.64,684.41,468.95,1,0,1
88,0232,1783.52,1291.51,774.91,442.8,1,0,1
89,0234,1805.01,1080.37,579.71,408.43,3,0,4
90,0235,1681.3,1154.33,489.34,363.86,1,0,1
91,0236,1835.54,1233.48,572.69,660.79,2,0,0
92,0237,2262.96,960.81,847.03,353.98,0,0,1
93,0238,1826.09,1304.35,583.85,298.14,0,0,0
94,1003,2229.45,1163.55,732.3,414.97,7,0,2
95,1005,2022.06,1127.45,686.27,477.94,0,0,0
96,1006,1838.07,1214.44,787.75,612.69,2,1,2
97,1007,2024.69,1148.15,716.05,604.94,0,0,0
98,1008,1846.52,1007.19,587.53,611.51,1,0,2
99,1009,1949.15,1172.32,776.84,353.11,0,0,1
100,1012,2108.04,1172.6,724.64,447.96,1,0,1
101,1013,1929.38,1071.88,592.69,390.92,1,0,1
102,1014,2177.53,1067.96,624.13,332.87,2,0,1
103,1017,1959.46,1272.52,731.98,574.32,0,0,0
104,1018,1910.41,1343.87,671.94,500.66,0,0,0
105,1020,2023.01,1112.18,613.61,575.26,1,0,0
106,1021,1731.34,1283.58,582.09,432.84,1,0,2
107,1022,2210.24,1253.37,687.33,377.36,1,0,1
108,1023,1788.01,1006.42,685.22,845.82,3,1,0
109,1032,1550.12,1293.71,780.89,675.99,0,0,0
110,1034,2068.49,1082.19,630.14,315.07,1,0,1
111,1036,2083.33,955.88,710.78,465.69,1,0,0
112,1041,1757.72,1235.15,629.45,380.05,8,0,1
113,1043,1812.73,1044.42,696.28,636.25,5,0,2
114,1048,2356.98,1189.93,549.2,526.32,0,0,0
115,1049,1789.34,1294.42,672.59,571.07,0,0,0
116,1050,2226.51,1093.95,604.89,450.45,1,0,0
117,1052,2253.52,1126.76,625.98,344.29,1,0,0
118,1055,1759.13,1204.33,703.65,581.87,2,0,2
119,1057,1748.33,1158.13,679.29,512.25,1,0,1
120,1058,2452.19,1124.86,562.43,483.69,1,0,2
121,1060,1870.5,1115.11,719.42,515.59,0,0,1
122,1061,1886.52,1106.38,567.38,453.9,0,0,0
123,1064,2223.6,1192.55,670.81,521.74,0,0,0
124,1065,1954.02,1111.11,660.92,555.56,0,0,1
125,1066,2052.82,1200.48,612.24,504.2,0,0,1
126,1067,1622.81,1125.73,804.09,380.12,5,0,0
127,1068,1930.84,1268.01,619.6,446.69,0,1,0
128,1069,1911.26,819.11,625.71,398.18,3,0,1
129,1070,2186.23,1295.55,634.28,458.84,1,0,1
130,1072,2184.15,995.72,749.46,503.21,0,0,0
131,1074,1942.53,1149.43,689.66,448.28,0,0,0
132,1077,2375.98,1031.33,809.4,456.92,1,1,1
133,1081,1660.08,869.57,790.51,527.01,1,0,1
134,1088,1987.25,1222.1,626.99,435.71,2,1,0
135,1090,1812.8,1090.05,580.57,438.39,2,0,1
136,1094,1876.54,1283.95,604.94,481.48,1,0,0
137,1095,1990.41,1091.13,563.55,395.68,4,0,3
138,1097,2334.32,1137.49,702.27,385.76,1,1,1
139,1098,1725.84,1173.57,414.2,502.96,5,0,3
140,1099,2228.41,1002.79,696.38,362.12,1,0,0
141,1100,2210.93,1041.93,749.68,432.02,0,0,0
142,1102,2076.64,1087.76,543.88,568.6,2,0,0
143,1103,1468.99,1055.5,642.0,652.88,5,0,3
144,1104,2162.68,1205.74,468.9,555.02,2,0,0
145,1105,1765.34,1119.48,624.33,527.45,2,0,1
146,1106,1921.05,1171.05,618.42,407.89,2,0,1
147,1109,1930.69,1303.63,709.57,561.06,0,0,0
148,1112,1733.33,1284.85,642.42,533.33,1,0,0
149,1121,1940.3,1002.13,724.95,490.41,9,0,2
150,2000,2177.62,888.08,620.44,291.97,0,0,1
151,2005,1517.86,1130.95,729.17,684.52,0,1,2
152,2007,1780.1,1047.12,863.87,497.38,1,1,1
153,2008,1957.75,957.75,816.9,507.04,1,1,0
154,2011,2346.94,1071.43,676.02,369.9,1,0,0
155,2012,1865.83,1027.25,870.02,628.93,0,0,2
156,2013,2155.61,931.12,841.84,535.71,0,0,0
157,2014,2073.54,1062.31,663.94,653.73,4,0,0
158,2015,2114.14,817.12,570.69,583.66,1,0,1
159,2016,2231.24,922.92,476.67,324.54,10,0,6
160,2017,1891.25,1075.65,661.94,425.53,1,0,0
161,2018,2056.07,1320.09,514.02,303.74,1,0,0
162,2019,2002.4,1306.95,479.62,335.73,3,0,1
163,2020,2009.13,1065.45,898.02,608.83,0,0,2
164,2021,1985.29,1151.96,870.1,563.73,3,0,0
165,2022,1765.52,1103.45,648.28,537.93,0,0,1
166,2024,1760.87,1239.13,576.09,510.87,0,0,0
167,2026,1800.46,1169.72,493.12,470.18,0,0,0
168,2028,1853.86,1041.95,784.84,784.84,2,0,3
169,2030,2198.68,1298.01,490.07,384.11,1,0,0
170,2031,1523.39,1196.95,772.58,652.88,1,0,1
171,2032,2158.96,1055.75,699.88,462.63,0,2,0
172,2034,1888.2,1180.12,571.43,745.34,1,0,0
173,2035,2087.19,1083.22,990.75,620.87,0,0,1
174,2036,1672.2,1107.42,509.41,609.08,2,0,1
175,2038,2092.43,1168.16,539.15,436.46,1,0,1
176,2039,2072.48,996.6,634.2,396.38,1,0,1
177,2040,2228.05,1061.6,615.99,209.7,1,0,2
178,2041,1968.68,1263.98,592.84,425.06,2,0,2
179,2042,1763.94,1219.2,635.54,609.6,2,0,0
180,2044,1958.33,1125.0,583.33,430.56,1,1,1
181,2045,1894.22,1107.01,713.41,455.1,3,0,2
182,2046,2237.2,1091.64,1064.69,458.22,0,0,0
183,2047,2034.31,1151.96,870.1,477.94,0,0,0
184,2048,2066.12,971.07,712.81,320.25,5,0,2
185,2049,2005.55,1081.33,841.04,480.59,0,0,1
186,2050,2250.3,1022.86,770.16,361.01,2,0,1
187,2055,2163.41,1208.29,575.37,333.72,2,0,0
188,2056,1883.35,1117.86,510.33,668.29,3,0,0
189,2057,1757.89,1126.32,778.95,473.68,2,0,4
190,2058,1923.91,1086.96,597.83,608.7,3,0,2
191,2059,2114.43,1094.53,746.27,373.13,7,0,7
192,2060,1923.08,1052.04,633.48,418.55,0,0,3
193,2061,2053.87,1189.67,662.18,549.94,3,0,0
