,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,doc,2035.12,1093.38,766.16,407.02,4,1,3
1,doc,1636.51,1046.42,865.46,251.77,4,3,4
2,doc,1831.24,1077.2,637.34,368.04,3,3,3
3,doc,1919.64,910.71,669.64,366.07,3,3,4
4,doc,1565.7,1015.84,549.86,568.5,1,4,2
5,doc,1980.86,956.94,842.11,641.15,2,0,0
6,doc,1986.24,1212.38,799.66,533.1,0,0,2
7,doc,2093.39,1050.58,762.65,350.19,7,0,7
8,doc,1675.93,1027.78,703.7,314.81,8,6,5
9,doc,2120.67,1109.14,638.86,559.01,1,0,3
10,doc,1372.21,1046.31,797.6,454.55,5,1,2
11,doc,1883.22,1069.08,715.46,246.71,5,3,1
12,doc,1548.56,977.69,636.48,406.82,4,0,7
13,doc,1709.48,1009.74,744.02,389.73,5,0,5
14,doc,2221.16,991.42,905.62,467.11,0,0,1
15,doc,1930.84,1133.53,826.13,480.31,1,6,1
16,doc,1742.9,906.94,717.67,268.14,11,2,4
17,doc,1780.39,956.86,705.88,478.43,3,0,1
18,doc,1792.98,1053.6,554.53,452.87,3,1,1
19,doc,1364.37,1123.6,529.7,304.98,8,2,5
20,doc,1757.85,1004.48,627.8,278.03,3,3,4
21,doc,2563.09,1253.94,820.19,362.78,1,0,2
22,doc,1733.8,1173.38,630.47,586.69,3,0,1
23,doc,1612.9,1185.7,749.78,575.41,6,0,1
24,doc,2097.48,1061.79,957.35,339.43,0,0,0
25,doc,2200.8,907.63,931.73,265.06,3,0,3
26,doc,2284.42,960.67,862.33,431.16,0,0,1
27,doc,2031.25,1015.62,824.65,277.78,3,0,4
28,doc,1556.2,936.6,525.94,360.23,12,2,2
29,doc,1551.96,1012.15,769.23,479.08,7,3,4
30,doc,2274.54,1069.43,734.24,407.02,7,0,2
31,doc,1802.03,1023.69,736.04,219.97,3,3,3
32,doc,1970.92,969.31,848.14,395.8,6,0,0
33,doc,2284.17,1079.14,782.37,368.71,4,1,6
34,doc,1619.12,956.05,732.46,470.32,4,0,4
35,doc,1672.27,1100.84,621.85,453.78,7,1,2
36,doc,2164.24,1094.95,829.77,402.05,1,0,1
37,doc,1487.47,881.16,412.29,371.87,5,0,5
38,doc,2102.22,1041.47,790.74,376.08,1,0,0
39,doc,1829.38,985.78,767.77,379.15,6,5,0
40,doc,1511.23,1105.35,716.75,414.51,3,5,5
41,doc,1495.55,921.58,679.06,363.78,5,0,7
42,doc,1660.81,1080.84,606.33,298.77,9,3,5
43,doc,1759.19,961.69,562.94,281.47,8,1,2
44,doc,2046.68,987.43,879.71,601.44,2,0,3
45,doc,1777.14,1152.74,672.43,432.28,1,2,1
46,doc,1577.36,1049.06,671.7,377.36,8,2,9
47,doc,1645.02,851.37,772.01,353.54,10,2,5
48,doc,1611.54,890.59,517.39,313.83,8,4,8
49,doc,1913.77,1135.65,651.95,325.97,3,1,3
50,doc,2187.21,1056.53,695.09,222.43,4,0,0
51,doc,1795.07,1009.24,577.81,346.69,2,0,5
52,doc,1611.46,1011.64,680.39,411.82,8,4,1
53,doc,1925.52,1045.96,863.71,427.89,3,0,2
54,doc,2261.12,889.31,842.01,321.67,4,0,9
55,doc,2019.87,1018.21,745.03,314.57,1,0,1
56,doc,1698.44,1126.52,658.58,294.63,1,3,2
57,doc,1798.86,981.19,817.66,343.42,4,3,4
58,doc,2024.01,951.97,891.94,283.02,3,1,1
59,doc,1805.38,1139.56,640.2,422.54,2,0,5
60,doc,2315.88,1189.0,1020.41,461.4,1,0,1
61,doc,1652.51,996.14,687.26,424.71,7,2,3
62,doc,2128.71,1179.87,668.32,569.31,0,0,1
63,doc,1920.73,1006.1,731.71,386.18,1,3,3
64,doc,1395.65,883.48,653.01,307.3,4,0,7
65,doc,1651.06,876.6,689.36,434.04,15,2,7
66,doc,1480.52,1090.91,649.35,519.48,7,1,3
67,doc,2123.08,992.31,684.62,407.69,2,0,6
68,doc,1676.65,1107.78,728.54,479.04,5,4,2
69,doc,1832.27,1066.55,1002.73,464.9,2,2,4
70,doc,1353.32,1166.94,623.99,348.46,4,1,4
71,doc,1472.55,1048.25,574.04,249.58,13,0,10
72,doc,1542.77,855.32,719.42,455.64,8,1,9
73,doc,2159.55,1232.88,596.29,596.29,2,0,4
